2025-07-16 11:11:06,052 INFO Connecting to 149.154.167.51:443/TcpFull...
2025-07-16 11:11:08,488 INFO Connection to 149.154.167.51:443/TcpFull complete!
2025-07-16 11:12:02,750 INFO Phone migrated to 4
2025-07-16 11:12:02,854 INFO Reconnecting to new data center 4
2025-07-16 11:12:03,059 INFO Disconnecting from 149.154.167.51:443/TcpFull...
2025-07-16 11:12:03,060 INFO Disconnection from 149.154.167.51:443/TcpFull complete!
2025-07-16 11:12:03,060 INFO Connecting to 149.154.167.91:443/TcpFull...
2025-07-16 11:12:05,001 INFO Connection to 149.154.167.91:443/TcpFull complete!
2025-07-16 11:13:52,192 INFO Connecting to 149.154.167.91:443/TcpFull...
2025-07-16 11:13:52,315 INFO Connection to 149.154.167.91:443/TcpFull complete!
2025-07-16 11:14:10,030 WARNING Telegram is having internal issues AuthRestartError: Restart the authorization process (caused by SendCodeRequest)
2025-07-16 11:15:15,346 INFO Connecting to 149.154.167.91:443/TcpFull...
2025-07-16 11:15:15,465 INFO Connection to 149.154.167.91:443/TcpFull complete!
2025-07-16 11:15:34,922 WARNING Telegram is having internal issues AuthRestartError: Restart the authorization process (caused by SendCodeRequest)
2025-07-16 11:20:23,204 INFO Connecting to 149.154.167.91:443/TcpFull...
2025-07-16 11:20:23,515 INFO Connection to 149.154.167.91:443/TcpFull complete!
2025-07-16 12:54:29,588 INFO Connecting to 149.154.167.91:443/TcpFull...
2025-07-16 12:54:29,736 INFO Connection to 149.154.167.91:443/TcpFull complete!
2025-07-16 12:55:04,968 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:05,379 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:05,504 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:05,681 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:05,887 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:06,337 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:06,476 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:06,626 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:06,792 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:07,070 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:07,660 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:07,970 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:08,178 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:08,368 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:08,481 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:08,595 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:08,716 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:08,832 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:08,991 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:09,210 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:09,319 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:09,455 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:09,578 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:09,819 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:09,935 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:10,047 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:10,203 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:10,325 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:10,960 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:11,805 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:13,005 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:13,120 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:13,237 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:13,494 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:13,719 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:14,009 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:14,289 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:14,554 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:15,071 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:15,187 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:15,309 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:15,435 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:15,552 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:15,681 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:15,901 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:16,232 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:16,580 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:16,696 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:17,052 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:17,165 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:17,302 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:18,406 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:18,623 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:18,846 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:19,020 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:19,251 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:19,465 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:19,584 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:19,707 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:19,822 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:19,939 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:20,099 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:20,218 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:20,338 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:20,474 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:20,588 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:20,810 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:21,028 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:21,139 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:21,353 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:21,462 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:21,694 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:21,810 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:21,926 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:22,150 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:22,268 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:22,414 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:22,556 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:22,675 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:23,011 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:23,469 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:23,582 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:23,692 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:23,802 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:24,023 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:55:24,133 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
